poll_at,over_under_id,projection_id,player_id,pitcher,stat_type,line,over_american,under_american,over_payout_multiplier,under_payout_multiplier,p_over_implied,p_under_implied,p_market,over_updated_at,under_updated_at,game_id,game_title,start_time,game_status,live_event,status
2026-08-26T01:20:19.329712+00:00,efdeca32-6a99-4672-9acb-a12fec45df8c,e5f07134-6dc6-413a-9bfb-dcfa556ee628,db70abb4-834d-42da-a164-25ba01c9b9a7,Sonny Gray,strikeouts,5.5,-103,-132,1.05,0.91,0.5073891625615764,0.5689655172413793,0.471395881006865,2026-08-26T01:18:26Z,2026-08-26T01:18:26Z,144414,BOS @ MIA,2026-08-26T22:40:00Z,scheduled,False,active
2026-08-26T01:20:19.329712+00:00,b855bd0c-2448-4961-ab49-06fc2de4c252,ca1df777-a1bf-4d3a-9c10-a942bdb69a2c,1780ec99-888d-47c8-87aa-a09447544fd1,Ryan Gusto,strikeouts,3.5,-139,102,0.89,1.07,0.5815899581589958,0.49504950495049505,0.5401900804186387,2026-08-26T00:39:50Z,2026-08-26T00:50:55Z,144414,BOS @ MIA,2026-08-26T22:40:00Z,scheduled,False,active
2026-08-26T01:20:19.329712+00:00,4c635baa-10c9-4846-93f2-1b6393863018,6a7d5fb5-1d48-4c64-abf4-16f9951b999a,db70abb4-834d-42da-a164-25ba01c9b9a7,Sonny Gray,pitch_outs,17.5,-193,142,0.78,1.21,0.658703071672355,0.4132231404958678,0.6145041180959399,2026-08-26T01:04:03Z,2026-08-26T01:04:03Z,144414,BOS @ MIA,2026-08-26T22:40:00Z,scheduled,False,active
2026-08-26T01:20:19.329712+00:00,82354e84-5b0f-49f1-b449-d7e47e67aa1c,c438dde2-bf04-428c-94d2-1459a1b6057e,1780ec99-888d-47c8-87aa-a09447544fd1,Ryan Gusto,pitch_outs,14.5,-102,-134,1.05,0.91,0.504950495049505,0.5726495726495726,0.4685880320402073,2026-08-26T00:39:51Z,2026-08-26T00:39:51Z,144414,BOS @ MIA,2026-08-26T22:40:00Z,scheduled,False,active
2026-08-26T01:20:19.329712+00:00,3d7a7d96-c7c4-43af-a6ad-11f3f63ae151,847f35c9-6d96-4bf4-b011-cee399fe8062,db70abb4-834d-42da-a164-25ba01c9b9a7,Sonny Gray,runs_allowed,2.5,126,-173,1.16,0.82,0.4424778761061947,0.6336996336996337,0.41115696255911327,2026-08-26T01:18:27Z,2026-08-26T01:18:27Z,144414,BOS @ MIA,2026-08-26T22:40:00Z,scheduled,False,active
2026-08-26T01:20:19.329712+00:00,ea4797c9-95e5-4a8e-859d-653fb0a596e9,332b0f71-0584-4c1b-8b2f-dd0daf840393,1780ec99-888d-47c8-87aa-a09447544fd1,Ryan Gusto,runs_allowed,2.5,128,-173,1.17,0.81,0.43859649122807015,0.6336996336996337,0.40902553038475364,2026-08-26T00:39:51Z,2026-08-26T00:39:51Z,144414,BOS @ MIA,2026-08-26T22:40:00Z,scheduled,False,active
2026-08-26T01:20:19.329712+00:00,39857e26-db2f-4a44-a57e-b373cc9ccd5a,c703118a-ffb6-4ef0-b6ac-8353d2a84803,db70abb4-834d-42da-a164-25ba01c9b9a7,Sonny Gray,walks_allowed,1.5,-120,-104,1.0,1.0,0.5454545454545454,0.5098039215686274,0.5168918918918919,2026-08-26T01:18:27Z,2026-08-26T01:18:27Z,144414,BOS @ MIA,2026-08-26T22:40:00Z,scheduled,False,active
2026-08-26T01:20:19.329712+00:00,3380536f-b303-446e-8e3d-de92b34d6c67,9b717ab2-f159-46e2-bb3a-5c8bdf3152ce,1780ec99-888d-47c8-87aa-a09447544fd1,Ryan Gusto,walks_allowed,0.5,-239,189,0.72,1.43,0.7050147492625368,0.3460207612456747,0.6707810937059949,2026-08-26T00:39:51Z,2026-08-26T00:39:51Z,144414,BOS @ MIA,2026-08-26T22:40:00Z,scheduled,False,active
2026-08-26T01:20:19.329712+00:00,2916629c-d549-498d-8e47-83bedf238e57,b109d43b-8e5d-478f-bd59-4fe958a85bb2,db70abb4-834d-42da-a164-25ba01c9b9a7,Sonny Gray,hits_allowed,4.5,-167,113,0.84,1.11,0.6254681647940075,0.4694835680751174,0.5712289829936888,2026-08-26T00:39:54Z,2026-08-26T00:39:54Z,144414,BOS @ MIA,2026-08-26T22:40:00Z,scheduled,False,active
2026-08-26T01:20:19.329712+00:00,58605119-57ba-4b8a-9170-d38fa28f407b,99b9c855-f12f-4f03-abda-4b60c476c055,1780ec99-888d-47c8-87aa-a09447544fd1,Ryan Gusto,hits_allowed,4.5,-132,-113,1.0,1.0,0.5689655172413793,0.5305164319248826,0.517485091658691,2026-08-26T00:39:51Z,2026-08-26T00:39:51Z,144414,BOS @ MIA,2026-08-26T22:40:00Z,scheduled,False,active
